,day,hour,waves_size,wind_speed,wind_direction
0,Vendredi 9 Janvier,07:00,7.8,"
52

",Orientation vent 282
1,Vendredi 9 Janvier,12:00,8.1,"
57

",Orientation vent 282
2,Vendredi 9 Janvier,17:00,7.7,"
50

",Orientation vent 308
3,Samedi 10 Janvier,07:00,5.9,"
30

",Orientation vent 316
4,Samedi 10 Janvier,12:00,5.4,"
35

",Orientation vent 312
5,Samedi 10 Janvier,17:00,5.1,"
31

",Orientation vent 315
6,Dimanche 11 Janvier,07:00,3.4,"
15

",Orientation vent 137
7,Dimanche 11 Janvier,12:00,2.7,"
22

",Orientation vent 165
8,Dimanche 11 Janvier,17:00,2.2,"
24

",Orientation vent 167
9,Lundi 12 Janvier,07:00,2.6,"
29

",Orientation vent 184
10,Lundi 12 Janvier,12:00,3.1,"
33

",Orientation vent 196
11,Lundi 12 Janvier,17:00,3.6,"
31

",Orientation vent 184
12,Mardi 13 Janvier,07:00,3.0,"
23

",Orientation vent 148
13,Mardi 13 Janvier,12:00,3.4,"
35

",Orientation vent 179
14,Mardi 13 Janvier,17:00,3.5,"
38

",Orientation vent 194
15,Mercredi 14 Janvier,07:00,3.9,"
34

",Orientation vent 246
16,Mercredi 14 Janvier,12:00,4.4,"
27

",Orientation vent 269
17,Mercredi 14 Janvier,17:00,4.5,"
23

",Orientation vent 278
18,Jeudi 15 Janvier,07:00,3.2,"
23

",Orientation vent 212
19,Jeudi 15 Janvier,12:00,2.7,"
23

",Orientation vent 177
20,Jeudi 15 Janvier,17:00,2.5,"
21

",Orientation vent 141
